city,force_size,race,perc_in
New York,32300,all,0.617956656
Chicago,12120,all,0.875
Los Angeles,10100,all,0.228217822
Washington,9340,all,0.115631692
Houston,7700,all,0.292207792
Philadelphia,6045,all,0.835401158
Phoenix,4475,all,0.311731844
San Diego,4460,all,0.362107623
Dallas,3605,all,0.191400832
Detroit,3265,all,0.370597243
San Francisco,3020,all,0.316225166
San Antonio,2955,all,0.624365482
Atlanta,2950,all,0.137288136
Las Vegas,2830,all,0.374558304
Baltimore,2800,all,0.257142857
Boston,2560,all,0.4765625
"Jacksonville, Fla.",2335,all,0.809421842
"El Paso, Texas",2260,all,0.851769912
"Columbus, Ohio",2245,all,0.405345212
Cleveland,2045,all,0.557457213
"Tucson, Ariz.",2020,all,0.398514851
"Newark, N.J.",2005,all,0.279301746
"Austin, Texas",1985,all,0.294710327
"Memphis, Tenn.",1970,all,0.464467005
Milwaukee,1960,all,0.721938776
"San Jose, Calif.",1875,all,0.466666667
Miami,1860,all,0.072580645
Denver,1820,all,0.282967033
"Sacramento, Calif.",1820,all,0.07967033
"Charlotte, N.C.",1780,all,0.362359551
"Tampa, Fla.",1715,all,0.177842566
Indianapolis,1620,all,0.648148148
"Santa Ana, Calif.",1590,all,0.094339623
New Orleans,1560,all,0.5
"Oakland, Calif.",1530,all,0.094771242
"Orlando, Fla.",1530,all,0.117647059
"Oklahoma City, Okla.",1500,all,0.596666667
Seattle,1445,all,0.117647059
"Kansas City, Mo.",1440,all,0.777777778
"Nashville, Tenn.",1440,all,0.618055556
"Laredo, Texas",1435,all,0.93728223
"Fort Worth, Texas",1430,all,0.426573427
"Louisville, Ky.",1430,all,0.646853147
"Norfolk, Va.",1425,all,0.21754386
"Arlington, Va.",1360,all,0.202205882
Pittsburgh,1350,all,0.659259259
"Albuquerque, N.M.",1340,all,0.615671642
"Jersey City, N.J.",1170,all,0.252136752
"Raleigh, N.C.",1150,all,0.269565217
"Rochester, N.Y.",1150,all,0.1
Cincinnati,1145,all,0.227074236
"Long Beach, Calif.",1115,all,0.291479821
"Birmingham, Ala.",1110,all,0.225225225
